"Fecha","Persona","Comercio","Monto"
"2025-01-04 18:25","Casa","Telecable","26369"
"2025-01-04 18:26","Andres","Kolbi","10560"
"2025-01-15 13:39","Casa","CNFL","47115"
"2025-01-27 14:33","Casa","AYA","17181"
"2025-02-01 09:59","Andres","Kolbi","10560"
"2025-02-01 20:37","Casa","Telecable","26369"
"2025-02-07 02:44","Casa","CNFL","37520"
"2025-02-20 20:38","Casa","AYA","21138"
"2025-03-01 01:18","Andres","Kolbi","10560"
"2025-03-06 09:42","Casa","Telecable","26369"
"2025-03-11 21:05","Casa","CNFL","37000"
"2025-03-29 19:23","Casa","AYA","25855"
"2025-04-08 11:28","Casa","CNFL","35995"
"2025-04-08 11:29","Andres","Kolbi","10560"
"2025-04-08 11:30","Casa","Telecable","26369"
"2025-04-24 09:41","Casa","AYA","32910"
"2025-05-01 11:14","Andres","Kolbi","10560"
"2025-05-02 08:11","Casa","Telecable","26369"
"2025-05-08 22:03","Casa","CNFL","44125"
"2025-05-21 08:15","Casa","AYA","26066"
"2025-06-05 10:00","Andres","Kolbi","10560"
"2025-06-05 21:22","Casa","Telecable","26369"
"2025-06-07 02:44","Casa","CNFL","42575"
"2025-06-23 21:06","Casa","AYA","34621"
"2025-07-01 22:01","Casa","Telecable","26369"
"2025-07-01 22:31","Andres","Kolbi","10560"
"2025-07-15 11:02","Casa","CNFL","41560"
"2025-07-22 14:30","Casa","AYA","22644"
"2025-08-01 10:00","Andres","Kolbi","10560"
"2025-08-01 10:02","Casa","Telecable","26369"
"2025-08-10 10:30","Casa","CNFL","43835"
"2025-08-25 11:56","Casa","AYA","34621"
"2025-09-01 00:00","Andres","Kolbi","10560"
"2025-09-03 23:02","Casa","Telecable","26369"
"2025-09-09 21:26","Casa","CNFL","38900"
"2025-09-22 21:28","Casa","AYA","31199"
"2025-10-02 16:27","Andres","Kolbi","10560"
"2025-10-02 16:27","Casa","Telecable","26369"
"2025-10-10 11:16","Casa","CNFL","47625"
