"Fecha","Persona","Comercio","Grupo","Descripcion","Monto"
"2025-01-02 20:01","Casa","Pali","Limpieza","Desinfectante","2980"
"2025-01-03 16:45","Casa","Pali","Carnes","Huevos","3145"
"2025-01-03 16:45","Casa","Pali","Lacteos","Natilla","2720"
"2025-01-03 16:45","Casa","Pali","Limpieza","Desengrasante","1980"
"2025-01-06 12:12","Mari","Pali","Personal","Acondicionador","2800"
"2025-01-06 12:12","Mari","Pali","Personal","Desodorante","720"
"2025-01-06 12:12","Mari","Pali","Personal","Shampoo","2800"
"2025-01-06 12:12","Casa","Pali","Limpieza","Esponjas Cocina","1020"
"2025-01-07 13:27","Casa","Pali","Carnes","Salchichon","1420"
"2025-01-07 13:27","Casa","Pali","Harinas","Tortilla Trigo","1320"
"2025-01-07 13:27","Casa","Pali","Limpieza","Jabon Lavaplatos","660"
"2025-01-09 09:50","Casa","Pali","Bebidas","Cafe Volio","3500"
"2025-01-09 09:50","Casa","Pali","Vegetales","Cebolla","1066"
"2025-01-09 09:50","Casa","Pali","Vegetales","Culantro","170"
"2025-01-09 09:50","Casa","Pali","Vegetales","Vainicas","1100"
"2025-01-10 19:40","Casa","Pali","Granos","Arroz","3560"
"2025-01-10 19:40","Casa","Pali","Granos","Frijoles Molidos","1240"
"2025-01-10 19:40","Casa","Pali","Harinas","Tortilla Trigo","1320"
"2025-01-15 12:13","Casa","Pali","Carnes","Salchichon","1960"
"2025-01-15 12:13","Casa","Pali","Lacteos","Natilla","1500"
"2025-01-15 12:13","Casa","Pali","Limpieza","Toalla Cocina","1000"
"2025-01-17 12:03","Andres","Pali","Personal","Pasta Dientes","600"
"2025-01-17 12:03","Casa","Pali","Harinas","Tortilla Maiz","920"
"2025-01-17 12:03","Casa","Pali","Lacteos","Leche","670"
"2025-01-17 17:26","Casa","Pali","Harinas","Galletas Dulces","2110"
"2025-01-17 17:26","Casa","Pali","Harinas","Pan","1580"
"2025-01-17 17:26","Casa","Pali","Vegetales","Ayote","1354"
"2025-01-17 17:26","Casa","Pali","Vegetales","Repollo","431"
"2025-01-17 17:26","Casa","Pali","Vegetales","Vainicas","2980"
"2025-01-18 18:46","Casa","Pali","Bebidas","Cafe Volio","3500"
"2025-01-18 18:46","Casa","Pali","Carnes","Carne Molida","790"
"2025-01-18 18:46","Casa","Pali","Salsas","Congo","930"
"2025-01-18 18:46","Casa","Pali","Vegetales","Cebolla","279"
"2025-01-18 18:46","Casa","Pali","Vegetales","Chile Dulce","360"
"2025-01-18 18:46","Casa","Pali","Vegetales","Papas","3270"
